listaportugues,furigana;kanji
letra vazio,n a r u t o
Prefeitura de Tochigi (área de Kanto),とちぎけん 栃木県
indica possessivo,の
jardim zoológico;jardins zoológicos,どうぶつえん 動物園
pequeno; pouco; minúsculo,ちい 小さな
gato da areia (Felis margarita);gato de duna de areia,すなねこ 砂猫
bebê;infantil,あか 赤ちゃん
indica objeto direto de ação,を
todos; todo mundo; todos,みんな 皆
two(As traduções variam),に 二
mostrar; mostrar,み 見せる
partícula de marcador de tópico,は
África,阿弗利加アフリカ 阿弗利加
desert(As traduções variam),さばく 砂漠
indica o sujeito da frase (ocasionalmente objeto),が
ser estar; existir; viver,あ 有る
"Lugar, colocar;local;cena;local",ところ 所
et cetera;etc .;e similar;e assim por diante,など 等
arqueiro;atirador;arqueiro,いて 射手
o mundo; sociedade; o universo,せかい 世界
saindo;saindo;fluxo de saída;efluxo;nascente (do Sol ou da Lua),で 出
número um; primeiro; primeiro lugar,いちばん 一番
classe,クラス
"gato (especialmente o gato doméstico, Felis catus)",ねこ 猫
estar; é,です
Yumi Onasu,那須弓雄
animal,どうぶつ 動物
reino;monarquia,おうこく 王国
abril,しがつ ４月
Japão,にほん 日本
pela primeira vez,はじ 初めて
para nascer,う 生まれる
e;e depois;portanto;e agora;e finalmente,そ 然して
Julho,しちがつ ７月
nono dia do mês,ここのか 九日
newborn(As traduções variam),う 生まれたて
"fêmea (animal, planta)",めす 雌
um animal (pequeno),いっぴき 一匹
corpo,からだ 体
peso,おも 重さ
aproximadamente;sobre;por aí;ou então,くらい
inaceitável;nada de bom;fracasso completo;inadequado,な 成ってない
animada;cheio de espírito;energético;vigoroso;vital;espirituoso,げんき 元気
leite,ミルク
para beber;para engolir;para engolir;tomar remédio),の 飲む
este mês,こんげつ 今月
décimo terceiro dia do mês,じゅうさんにち 十三日
"de (por exemplo, tempo, local, quantidade numérica);Desde a",から
esta,こ 此の
mostrar; mostrar,み 見せる
coisa;importam,こと 事
"resignar;aposentar-se;para sair;sair (o trabalho, etc.)",や 辞める
Boa;vantagem;beneficiar;bem-estar,ため 為
olhando;vendo,み 見
vir (espacial ou temporalmente);se aproximar;chegar,く 来る
homem; pessoa,ひと 人
telefonema; chamada telefónica,でんわ 電話
ficar surpreso ao ouvir;ser incrédulo sobre;para expressar descrença,き 聞いてあきれる
procurado;desejei;na necessidade de;desejado,ほ 欲しい
porta (especialmente no estilo japonês),と 戸
dizer;para proferir;declarar,い 言う
